Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org

WO028_S3_REDERIVE start=1250 count=125 sigma=0.045 worker=w2
[RNG] Battle seed set: 1250
[Scenario 03] Battle seed: 1250
S3_PROG worker=w2 i=1/125 seed=1250 ratio=0.2876 rout=76.43 left=60.71 flank=true
[RNG] Battle seed set: 1251
[Scenario 03] Battle seed: 1251
[RNG] Battle seed set: 1252
[Scenario 03] Battle seed: 1252
[RNG] Battle seed set: 1253
[Scenario 03] Battle seed: 1253
[RNG] Battle seed set: 1254
[Scenario 03] Battle seed: 1254
[RNG] Battle seed set: 1255
[Scenario 03] Battle seed: 1255
[RNG] Battle seed set: 1256
[Scenario 03] Battle seed: 1256
[RNG] Battle seed set: 1257
[Scenario 03] Battle seed: 1257
[RNG] Battle seed set: 1258
[Scenario 03] Battle seed: 1258
[RNG] Battle seed set: 1259
[Scenario 03] Battle seed: 1259
[RNG] Battle seed set: 1260
[Scenario 03] Battle seed: 1260
[RNG] Battle seed set: 1261
[Scenario 03] Battle seed: 1261
[RNG] Battle seed set: 1262
[Scenario 03] Battle seed: 1262
[RNG] Battle seed set: 1263
[Scenario 03] Battle seed: 1263
[RNG] Battle seed set: 1264
[Scenario 03] Battle seed: 1264
[RNG] Battle seed set: 1265
[Scenario 03] Battle seed: 1265
[RNG] Battle seed set: 1266
[Scenario 03] Battle seed: 1266
[RNG] Battle seed set: 1267
[Scenario 03] Battle seed: 1267
[RNG] Battle seed set: 1268
[Scenario 03] Battle seed: 1268
[RNG] Battle seed set: 1269
[Scenario 03] Battle seed: 1269
[RNG] Battle seed set: 1270
[Scenario 03] Battle seed: 1270
[RNG] Battle seed set: 1271
[Scenario 03] Battle seed: 1271
[RNG] Battle seed set: 1272
[Scenario 03] Battle seed: 1272
[RNG] Battle seed set: 1273
[Scenario 03] Battle seed: 1273
[RNG] Battle seed set: 1274
[Scenario 03] Battle seed: 1274
S3_PROG worker=w2 i=25/125 seed=1274 ratio=0.2876 rout=76.84 left=63.45 flank=true
[RNG] Battle seed set: 1275
[Scenario 03] Battle seed: 1275
[RNG] Battle seed set: 1276
[Scenario 03] Battle seed: 1276
[RNG] Battle seed set: 1277
[Scenario 03] Battle seed: 1277
[RNG] Battle seed set: 1278
[Scenario 03] Battle seed: 1278
[RNG] Battle seed set: 1279
[Scenario 03] Battle seed: 1279
[RNG] Battle seed set: 1280
[Scenario 03] Battle seed: 1280
[RNG] Battle seed set: 1281
[Scenario 03] Battle seed: 1281
[RNG] Battle seed set: 1282
[Scenario 03] Battle seed: 1282
[RNG] Battle seed set: 1283
[Scenario 03] Battle seed: 1283
[RNG] Battle seed set: 1284
[Scenario 03] Battle seed: 1284
[RNG] Battle seed set: 1285
[Scenario 03] Battle seed: 1285
[RNG] Battle seed set: 1286
[Scenario 03] Battle seed: 1286
[RNG] Battle seed set: 1287
[Scenario 03] Battle seed: 1287
[RNG] Battle seed set: 1288
[Scenario 03] Battle seed: 1288
[RNG] Battle seed set: 1289
[Scenario 03] Battle seed: 1289
[RNG] Battle seed set: 1290
[Scenario 03] Battle seed: 1290
[RNG] Battle seed set: 1291
[Scenario 03] Battle seed: 1291
[RNG] Battle seed set: 1292
[Scenario 03] Battle seed: 1292
[RNG] Battle seed set: 1293
[Scenario 03] Battle seed: 1293
[RNG] Battle seed set: 1294
[Scenario 03] Battle seed: 1294
[RNG] Battle seed set: 1295
[Scenario 03] Battle seed: 1295
[RNG] Battle seed set: 1296
[Scenario 03] Battle seed: 1296
[RNG] Battle seed set: 1297
[Scenario 03] Battle seed: 1297
[RNG] Battle seed set: 1298
[Scenario 03] Battle seed: 1298
[RNG] Battle seed set: 1299
[Scenario 03] Battle seed: 1299
S3_PROG worker=w2 i=50/125 seed=1299 ratio=0.2797 rout=76.17 left=58.06 flank=true
[RNG] Battle seed set: 1300
[Scenario 03] Battle seed: 1300
[RNG] Battle seed set: 1301
[Scenario 03] Battle seed: 1301
[RNG] Battle seed set: 1302
[Scenario 03] Battle seed: 1302
[RNG] Battle seed set: 1303
[Scenario 03] Battle seed: 1303
[RNG] Battle seed set: 1304
[Scenario 03] Battle seed: 1304
[RNG] Battle seed set: 1305
[Scenario 03] Battle seed: 1305
[RNG] Battle seed set: 1306
[Scenario 03] Battle seed: 1306
[RNG] Battle seed set: 1307
[Scenario 03] Battle seed: 1307
[RNG] Battle seed set: 1308
[Scenario 03] Battle seed: 1308
[RNG] Battle seed set: 1309
[Scenario 03] Battle seed: 1309
[RNG] Battle seed set: 1310
[Scenario 03] Battle seed: 1310
[RNG] Battle seed set: 1311
[Scenario 03] Battle seed: 1311
[RNG] Battle seed set: 1312
[Scenario 03] Battle seed: 1312
[RNG] Battle seed set: 1313
[Scenario 03] Battle seed: 1313
[RNG] Battle seed set: 1314
[Scenario 03] Battle seed: 1314
[RNG] Battle seed set: 1315
[Scenario 03] Battle seed: 1315
[RNG] Battle seed set: 1316
[Scenario 03] Battle seed: 1316
[RNG] Battle seed set: 1317
[Scenario 03] Battle seed: 1317
[RNG] Battle seed set: 1318
[Scenario 03] Battle seed: 1318
[RNG] Battle seed set: 1319
[Scenario 03] Battle seed: 1319
[RNG] Battle seed set: 1320
[Scenario 03] Battle seed: 1320
[RNG] Battle seed set: 1321
[Scenario 03] Battle seed: 1321
[RNG] Battle seed set: 1322
[Scenario 03] Battle seed: 1322
[RNG] Battle seed set: 1323
[Scenario 03] Battle seed: 1323
[RNG] Battle seed set: 1324
[Scenario 03] Battle seed: 1324
S3_PROG worker=w2 i=75/125 seed=1324 ratio=0.2691 rout=76.10 left=58.69 flank=true
[RNG] Battle seed set: 1325
[Scenario 03] Battle seed: 1325
[RNG] Battle seed set: 1326
[Scenario 03] Battle seed: 1326
[RNG] Battle seed set: 1327
[Scenario 03] Battle seed: 1327
[RNG] Battle seed set: 1328
[Scenario 03] Battle seed: 1328
[RNG] Battle seed set: 1329
[Scenario 03] Battle seed: 1329
[RNG] Battle seed set: 1330
[Scenario 03] Battle seed: 1330
[RNG] Battle seed set: 1331
[Scenario 03] Battle seed: 1331
[RNG] Battle seed set: 1332
[Scenario 03] Battle seed: 1332
[RNG] Battle seed set: 1333
[Scenario 03] Battle seed: 1333
[RNG] Battle seed set: 1334
[Scenario 03] Battle seed: 1334
[RNG] Battle seed set: 1335
[Scenario 03] Battle seed: 1335
[RNG] Battle seed set: 1336
[Scenario 03] Battle seed: 1336
[RNG] Battle seed set: 1337
[Scenario 03] Battle seed: 1337
[RNG] Battle seed set: 1338
[Scenario 03] Battle seed: 1338
[RNG] Battle seed set: 1339
[Scenario 03] Battle seed: 1339
[RNG] Battle seed set: 1340
[Scenario 03] Battle seed: 1340
[RNG] Battle seed set: 1341
[Scenario 03] Battle seed: 1341
[RNG] Battle seed set: 1342
[Scenario 03] Battle seed: 1342
[RNG] Battle seed set: 1343
[Scenario 03] Battle seed: 1343
[RNG] Battle seed set: 1344
[Scenario 03] Battle seed: 1344
[RNG] Battle seed set: 1345
[Scenario 03] Battle seed: 1345
[RNG] Battle seed set: 1346
[Scenario 03] Battle seed: 1346
[RNG] Battle seed set: 1347
[Scenario 03] Battle seed: 1347
[RNG] Battle seed set: 1348
[Scenario 03] Battle seed: 1348
[RNG] Battle seed set: 1349
[Scenario 03] Battle seed: 1349
S3_PROG worker=w2 i=100/125 seed=1349 ratio=0.2889 rout=76.00 left=57.65 flank=true
[RNG] Battle seed set: 1350
[Scenario 03] Battle seed: 1350
[RNG] Battle seed set: 1351
[Scenario 03] Battle seed: 1351
[RNG] Battle seed set: 1352
[Scenario 03] Battle seed: 1352
[RNG] Battle seed set: 1353
[Scenario 03] Battle seed: 1353
[RNG] Battle seed set: 1354
[Scenario 03] Battle seed: 1354
[RNG] Battle seed set: 1355
[Scenario 03] Battle seed: 1355
[RNG] Battle seed set: 1356
[Scenario 03] Battle seed: 1356
[RNG] Battle seed set: 1357
[Scenario 03] Battle seed: 1357
[RNG] Battle seed set: 1358
[Scenario 03] Battle seed: 1358
[RNG] Battle seed set: 1359
[Scenario 03] Battle seed: 1359
[RNG] Battle seed set: 1360
[Scenario 03] Battle seed: 1360
[RNG] Battle seed set: 1361
[Scenario 03] Battle seed: 1361
[RNG] Battle seed set: 1362
[Scenario 03] Battle seed: 1362
[RNG] Battle seed set: 1363
[Scenario 03] Battle seed: 1363
[RNG] Battle seed set: 1364
[Scenario 03] Battle seed: 1364
[RNG] Battle seed set: 1365
[Scenario 03] Battle seed: 1365
[RNG] Battle seed set: 1366
[Scenario 03] Battle seed: 1366
[RNG] Battle seed set: 1367
[Scenario 03] Battle seed: 1367
[RNG] Battle seed set: 1368
[Scenario 03] Battle seed: 1368
[RNG] Battle seed set: 1369
[Scenario 03] Battle seed: 1369
[RNG] Battle seed set: 1370
[Scenario 03] Battle seed: 1370
[RNG] Battle seed set: 1371
[Scenario 03] Battle seed: 1371
[RNG] Battle seed set: 1372
[Scenario 03] Battle seed: 1372
[RNG] Battle seed set: 1373
[Scenario 03] Battle seed: 1373
[RNG] Battle seed set: 1374
[Scenario 03] Battle seed: 1374
S3_PROG worker=w2 i=125/125 seed=1374 ratio=0.2942 rout=76.00 left=55.81 flank=true
WO028_S3_STATS metric=ratio n=125 mean=0.283620 sd=0.012366 min=0.262533 max=0.311346 p01=0.262850 p99=0.309710 p005=0.262533 p995=0.310528 m3=0.246523 p3=0.320717
WO028_S3_STATS metric=rout n=125 mean=76.275727 sd=0.494261 min=75.094668 max=77.479195 p01=75.272102 p99=77.404023 p005=75.190751 p995=77.439325 m3=74.792945 p3=77.758509
WO028_S3_STATS metric=left n=125 mean=58.934250 sd=3.036758 min=51.835755 max=66.612461 p01=52.633914 p99=66.103535 p005=52.247431 p995=66.305316 m3=49.823975 p3=68.044524
WO028_S3_FLANK_WINS 125/125 ms=211207
WO028_S3_CSV res://docs/reports/evidence_wo028/s3_rederive_w2.csv
WO028_S3_REDERIVE_DONE worker=w2
