Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org

WO028_S3_REDERIVE start=1375 count=125 sigma=0.045 worker=w3
[RNG] Battle seed set: 1375
[Scenario 03] Battle seed: 1375
S3_PROG worker=w3 i=1/125 seed=1375 ratio=0.2784 rout=76.17 left=59.16 flank=true
[RNG] Battle seed set: 1376
[Scenario 03] Battle seed: 1376
[RNG] Battle seed set: 1377
[Scenario 03] Battle seed: 1377
[RNG] Battle seed set: 1378
[Scenario 03] Battle seed: 1378
[RNG] Battle seed set: 1379
[Scenario 03] Battle seed: 1379
[RNG] Battle seed set: 1380
[Scenario 03] Battle seed: 1380
[RNG] Battle seed set: 1381
[Scenario 03] Battle seed: 1381
[RNG] Battle seed set: 1382
[Scenario 03] Battle seed: 1382
[RNG] Battle seed set: 1383
[Scenario 03] Battle seed: 1383
[RNG] Battle seed set: 1384
[Scenario 03] Battle seed: 1384
[RNG] Battle seed set: 1385
[Scenario 03] Battle seed: 1385
[RNG] Battle seed set: 1386
[Scenario 03] Battle seed: 1386
[RNG] Battle seed set: 1387
[Scenario 03] Battle seed: 1387
[RNG] Battle seed set: 1388
[Scenario 03] Battle seed: 1388
[RNG] Battle seed set: 1389
[Scenario 03] Battle seed: 1389
[RNG] Battle seed set: 1390
[Scenario 03] Battle seed: 1390
[RNG] Battle seed set: 1391
[Scenario 03] Battle seed: 1391
[RNG] Battle seed set: 1392
[Scenario 03] Battle seed: 1392
[RNG] Battle seed set: 1393
[Scenario 03] Battle seed: 1393
[RNG] Battle seed set: 1394
[Scenario 03] Battle seed: 1394
[RNG] Battle seed set: 1395
[Scenario 03] Battle seed: 1395
[RNG] Battle seed set: 1396
[Scenario 03] Battle seed: 1396
[RNG] Battle seed set: 1397
[Scenario 03] Battle seed: 1397
[RNG] Battle seed set: 1398
[Scenario 03] Battle seed: 1398
[RNG] Battle seed set: 1399
[Scenario 03] Battle seed: 1399
S3_PROG worker=w3 i=25/125 seed=1399 ratio=0.2704 rout=75.73 left=56.62 flank=true
[RNG] Battle seed set: 1400
[Scenario 03] Battle seed: 1400
[RNG] Battle seed set: 1401
[Scenario 03] Battle seed: 1401
[RNG] Battle seed set: 1402
[Scenario 03] Battle seed: 1402
